user_id,vendor,phone,url,email
,,,.com,
1123456702,House Depot,(345) 678 6702,Housedepot.com,
1123456703,Spotted Chair,345 6786 703,SpottedChair.com,
1123456704,Rising Star,3456786704,RisingStar.com,
1123456800,Data Miner ,345 678 6800,DataMiner.com,
1123456801,Brown Inc,(345) 678-6801,BrownInc.com,
1123456700,ABC Credit Company,202 555 1212,ABCCreditCo.com,
1123456701,Bloom’s Blooms,407 893-6345,Bloomsblooms.com,
1123456702,Brown Inc,(345) 678-6801,BrownInc.com,
1123456703,Car Financer,(789) 687 1924,carfinancer.com,
1123456704,Complete Service,1927364597,Completeservice.com,
1123456802,Credit Card Co 1,456-1289,CreditCardCo1.com,
1123456803,Credit Card Co 2,Abc def ghij,CreditCardCo2.com,
1123456804,Creepy Crawler,,CreepyCrawler.com,
1123456900,Data Miner ,345 678 6801,DataMiner.com,
1123456903,Debit Card Co 1,430 678-6802,DebitCardCo1.com,
1123456904,Debit Card Co 2,829 678-6802,DebitCardCo2.com,
1123457000,Dental Care,xxx-xxx-xxxx,DentalCare.com,
1123457001,Digital Service,303 555 1212,digitalserverco.com,
1123457002,Electric Co,808-555-1212,electricco.com,
1123457003,Electric Power,505-555-1212,electricpower.com,
1123457004,Green Grocer,(809) 999 9999,GreenGroceries.com,
1123456700,Health Care,111 111 1111,Healthcare.com,
1123456701,Home Phone,222 222 2222,homephone.com,
1123456702,Home Realtors,222-222-2220,HomeRealtors.com,
1123456703,House Depot,(345) 678 6703,Housedepot.com,
1123456704,Insurance Agency,333-222-4444,InsuranceAgency.com,
1123456800,Insurance Company,333-222-4445,InsuranceCompany.com,
1123456801,Internet Service Company,333-222-4446,ISC.com,
1123456802,Internet Service Provider,444-444-3333,ISP.com,
1123456803,Major Super Market,444-444-4444,MajorSuperMarket.com,
1123456804,Mobile Company,(444)-888-8989,mobilecompany.com,
1123456900,Mobile Provider,555-555-1212,mobileprovider.com,
1123456901,Mortgage Company,555 555 5555,MortgageCompany.com,
1123456902,Motivational Speaker,555 666-6666,Itsuptoyou.com,
1123456903,My Employer,888 555 3333,MyEmployer.com,
1123456904,O’Pine Logging,111 333 5555,opinelogging.com,
1123457000,PZQ Maintenance Shop,222 333 5555,PZQMechanics.com,
1123457001,Rising Biscuit,666 777 4444,RisingBiscuit.com,
1123457002,Rising Star,3456786705,RisingStar.com,
1123457003,Southern Food Restaurant,999 888 5555,Southernfood.com,
1123457004,Spotted Chair,345 6786 704,SpottedChair.com,
1123456903,Storarge Place,444 666 7777,storageplace.com,
1123456902,Streaming Service,777 666 0000,streamingservice.com,
1123456701,Studio Lighting,777 555 4444,StudioLighting.com,
1123457004,Supreme Baker,333 222 8888,SupremeBaker.com,
1123456901,The Gym,444 888 9999,theGym.com,
1123456904,Time Travels Company,786 565 9052,TimeTravelers.com,
1123456803,Water Co,234 569 2274,waterco.com,
1123456903,XYZ Car Maker,123 456 0987,XYZCars.com,
1123456901,Bank,6278378390,Bank.com,
